Year,Extroversion,Text Recipients,Sleep Hours,Handedness,Sleep Position,Piercings
1,8,25,6,Right-handed,On your right side,4
3,6,4,8,Right-handed,On your right side,0
3,5,3,6,Right-handed,On your stomach,0
1,4,3,7,Left-handed,On your back,0
1,7,4,7,Left-handed,On your left side,3
1,3,2,6,Right-handed,On your left side,8
1,9,5,7,Right-handed,On your back,0
1,4,20,8,Left-handed,On your back,0
2,5,2,8,Right-handed,On your left side,3
1,3,5,7,Right-handed,On your right side,2
1,7,3,7,Right-handed,On your left side,0
1,6,5,7,Right-handed,On your right side,0
2,7,10,7,Right-handed,On your right side,9
1,5,1,8,Right-handed,On your back,0
2,4,2,7,Right-handed,On your stomach,8
2,6,4,7.5,Right-handed,On your stomach,2
1,5,10,7,Right-handed,On your left side,5
2,4,3,8,Left-handed,On your back,0
1,5,10,7.5,Right-handed,On your stomach,0
2,8,3,8,Right-handed,On your left side,0
2,5,4,7,Right-handed,On your right side,9
3,2,3,7,Right-handed,On your back,0
3,5,10,6.5,Right-handed,On your back,0
2,8,8,8.5,Right-handed,On your left side,2
1,6,10,7,Right-handed,On your right side,7
4,3,4,8,Right-handed,On your back,7
1,5,3,9,Right-handed,On your left side,2
2,9,8,8,Right-handed,On your left side,3
2,4,2,8,Right-handed,On your right side,1
1,4,12,6,Right-handed,On your right side,0
1,2,3,7,Right-handed,On your right side,0
3,4,10,8,Left-handed,On your stomach,0
1,4,5,8,Right-handed,On your right side,0
2,6,4,8,Right-handed,On your left side,0
1,7,9,8,Right-handed,On your back,0
1,8,6,7,Right-handed,On your back,5
1,7,8,7,Right-handed,On your left side,2
1,8,15,5,Right-handed,On your back,2
1,8,4,6,Right-handed,On your left side,0
1,7,5,8,Right-handed,On your left side,3
4,6,5,7,Right-handed,On your right side,0
1,8,15,7,Left-handed,On your back,1
1,6,8,7,Right-handed,On your back,2
1,5,3,4,Right-handed,On your back,13
1,2,2,7,Right-handed,On your right side,2
4,4,5,9,Right-handed,On your back,1
1,7,8,7,Right-handed,On your left side,0
4,3,2,6.5,Right-handed,On your left side,0
