Year,Extroversion,Text Recipients,Sleep Hours,Handedness,Sleep Position,Piercings
3,3,4,7,Right-handed,On your left side,0
1,7,5,8,Right-handed,On your left side,2
1,5,8,8,Right-handed,On your right side,8
1,8,5,7,Right-handed,On your left side,0
2,6,4,7,Right-handed,On your back,2
2,5,10,9,Right-handed,On your back,5
1,8,30,7,Right-handed,On your back,0
1,7,4,6,Right-handed,On your back,1
1,7,8,9,Right-handed,On your right side,0
2,9,3,9,Right-handed,On your left side,3
1,5,7,6,Right-handed,On your right side,0
1,3,5,6,Right-handed,On your right side,4
1,8,10,9,Right-handed,On your right side,0
1,3,3,7,Right-handed,On your left side,0
1,8,7,6,Right-handed,On your back,4
2,5,3,7,Left-handed,On your stomach,2
1,8,5,8,Right-handed,On your left side,0
1,9,15,7,Right-handed,On your stomach,4
1,6,16,7.5,Right-handed,On your left side,4
2,8,10,7,Right-handed,On your right side,2
2,8,10,8,Right-handed,On your left side,0
4,7,8,8,Right-handed,On your back,0
1,8,5,7,Right-handed,On your right side,2
2,4,6,6.5,Right-handed,On your back,10
1,6,10,7,Right-handed,On your left side,2
1,7,4,8,Right-handed,On your right side,3
1,7,3,6,Left-handed,On your left side,0
2,10,7,8,Right-handed,On your right side,2
2,5,5,6,Right-handed,On your stomach,1
1,2,67,8,Right-handed,On your left side,0
1,7,9,7.5,Right-handed,On your stomach,2
1,3,1,8,Right-handed,On your right side,0
2,7,4,7,Left-handed,On your right side,0
1,5,4,9,Right-handed,On your left side,0
1,6,3,7,Right-handed,On your stomach,4
1,4,9,7,Right-handed,On your left side,4
1,6,8,8,Right-handed,On your back,0
4,8,13,7,Right-handed,On your right side,2
1,8,10,8,Right-handed,On your right side,5
1,7,3,9,Right-handed,On your back,2
1,7,10,7,Right-handed,On your left side,0
1,8,2,6,Right-handed,On your right side,3
2,6,5,8,Right-handed,On your right side,2
2,5,2,7,Right-handed,On your right side,3
1,6,4,7,Right-handed,On your left side,2
1,3,5,6,Right-handed,On your right side,0
1,8,15,8,Right-handed,On your right side,2
1,6,12,7,Right-handed,On your back,2
4,8,5,9,Right-handed,On your stomach,0
1,5,4,7,Right-handed,On your left side,7
2,7,15,6,Left-handed,On your right side,2
1,7,4,7,Right-handed,On your right side,2
3,8,8,7,Right-handed,On your left side,0
1,4,3,5,Right-handed,On your left side,2
1,5,2,8,Right-handed,On your right side,2
3,5,3,5,Right-handed,On your stomach,0
2,8,2,7,Right-handed,On your back,0
1,5,2,6,Right-handed,On your right side,4
1,3,15,8,Right-handed,On your back,5
2,3,4,7,Right-handed,On your left side,0
2,6,8,8,Right-handed,On your back,0
1,4,8,7.5,Right-handed,On your right side,4
1,3,2,7,Right-handed,On your stomach,2
3,4,4,6,Right-handed,On your right side,6
1,3,6,8,Right-handed,On your left side,0
2,4,6,7,Right-handed,On your back,0
2,3,2,7.5,Right-handed,On your left side,0
1,2,6,7,Right-handed,On your left side,4
3,7,5,5,Right-handed,On your right side,0
3,8,4,7,Right-handed,On your left side,2
3,3,3,5,Right-handed,On your back,5
1,6,3,8,Right-handed,On your right side,2
3,4,3,7,Left-handed,On your right side,0
1,7,5,7,Left-handed,On your left side,0
3,2,3,8,Right-handed,On your left side,0
2,2,3,8,Right-handed,On your back,0
2,7,4,7,Right-handed,On your right side,7
1,6,5,8,Left-handed,On your right side,2
2,8,10,7,Right-handed,On your left side,7
3,3,3,7,Left-handed,On your right side,1
3,4,3,7,Right-handed,On your right side,9
1,3,5,8,Right-handed,On your back,0
1,8,11,9,Right-handed,On your back,0
2,7,5,6,Right-handed,On your back,3
3,3,5,6,Right-handed,On your right side,0
2,9,8,6,Right-handed,On your right side,2
1,4,10,8,Right-handed,On your left side,0
1,7,7,6,Right-handed,On your left side,2
3,7,3,8,Right-handed,On your back,0
1,5,10,8,Right-handed,On your back,0
2,6,4,7,Right-handed,On your left side,0
3,8,5,8,Right-handed,On your right side,3
3,7,3,7,Right-handed,On your left side,2
1,4,10,6,Right-handed,On your right side,2
3,7,7,8,Right-handed,On your left side,3
1,7,5,8,Right-handed,On your stomach,8
4,7,1,7,Right-handed,On your left side,0
3,7,6,7,Right-handed,On your back,2
1,3,1,8,Right-handed,On your back,0
1,4,6,8,Right-handed,On your left side,0
1,3,6,7,Right-handed,On your right side,2
1,4,4,8,Right-handed,On your left side,5
1,5,5,6.5,Right-handed,On your right side,2
1,5,4,6,Right-handed,On your right side,6
1,5,3,7,Right-handed,On your back,7
2,3,2,6,Right-handed,On your left side,4
4,5,12,6,Right-handed,On your right side,8
2,3,6,7,Right-handed,On your back,7
4,3,3,7,Right-handed,On your right side,0
1,7,15,7,Right-handed,On your right side,2
2,8,5,7,Right-handed,On your right side,2
2,4,3,8,Right-handed,On your stomach,2
3,6,7,7,Right-handed,On your stomach,5
3,5,2,6,Right-handed,On your left side,0
1,6,6,7,Right-handed,On your right side,1
2,6,10,3,Right-handed,On your left side,1
1,3,3,8,Left-handed,On your left side,2
1,9,7,8,Right-handed,On your left side,2
2,7,10,7,Right-handed,On your right side,1
3,5,10,7,Right-handed,On your right side,0
1,8,8,7,Right-handed,On your stomach,0
3,7,5,8,Right-handed,On your back,3
2,8,12,7,Right-handed,On your right side,0
1,8,4,8,Right-handed,On your right side,0
1,8,5,7,Right-handed,On your right side,0
1,5,10,8,Right-handed,On your right side,5
2,7,8,6,Right-handed,On your back,6
3,1,5,6,Right-handed,On your back,4
1,1,0,8,Right-handed,On your left side,0
1,2,1,7,Right-handed,On your stomach,0
1,4,6,7,Right-handed,On your left side,0
1,7,10,5,Right-handed,On your back,0
1,8,10,5,Right-handed,On your right side,9
1,6,10,6,Right-handed,On your right side,5
1,7,6,7,Right-handed,On your right side,2
1,9,10,8,Right-handed,On your right side,4
1,7,8,7,Right-handed,On your left side,0
2,3,4,7,Right-handed,On your right side,3
3,9,10,7.5,Right-handed,On your back,0
1,6,4,6,Right-handed,On your right side,1
2,7,4,7,Right-handed,On your right side,4
1,7,7,7.5,Right-handed,On your left side,0
3,6,15,6,Right-handed,On your stomach,15
3,6,12,7,Right-handed,On your right side,4
2,4,3,8,Right-handed,On your left side,0
3,7,1,5,Right-handed,On your right side,2
3,7,2,7,Right-handed,On your right side,7
2,7,12,7,Right-handed,On your back,2
1,7,10,7,Right-handed,On your right side,0
1,4,1,7,Right-handed,On your back,0
3,8,6,8,Right-handed,On your left side,0
3,5,15,5,Right-handed,On your right side,6
1,7,8,7,Right-handed,On your back,0
1,8,5,1,Right-handed,On your right side,2
2,6,10,8,Right-handed,On your right side,1
3,4,3,7,Right-handed,On your back,0
3,6,4,8,Right-handed,On your left side,0
1,6,4,8.5,Right-handed,On your stomach,4
2,6,6,8,Right-handed,On your back,2
2,7,10,6,Right-handed,On your back,2
1,5,6,7,Right-handed,On your back,2
3,8,7,6,Right-handed,On your back,2
3,5,2,7,Left-handed,On your right side,2
1,8,7,8,Right-handed,On your back,2
2,8,8,8,Right-handed,On your back,2
2,1,8,6,Right-handed,On your right side,0
3,4,3,6,Right-handed,On your right side,3
1,4,3,7,Right-handed,On your right side,5
3,8,10,7,Right-handed,On your stomach,3
1,3,5,7,Right-handed,On your left side,0
1,4,5,7.5,Right-handed,On your back,0
3,3,2,5,Right-handed,On your right side,0
2,8,10,6,Right-handed,On your stomach,7
3,8,10,7,Right-handed,On your right side,2
2,6,10,7,Right-handed,On your right side,0
3,8,7,7,Right-handed,On your back,0
4,7,3,7,Right-handed,On your back,3
3,4,3,8,Right-handed,On your right side,8
1,3,2,7,Right-handed,On your right side,0
1,8,5,8,Right-handed,On your stomach,0
1,3,4,8,Right-handed,On your right side,0
4,5,3,7,Right-handed,On your left side,5
1,4,4,6,Right-handed,On your left side,0
1,3,2,6,Right-handed,On your right side,0
2,8,30,8,Right-handed,On your back,0
2,4,10,7,Right-handed,On your left side,0
1,7,4,7,Right-handed,On your back,1
3,4,5,8,Right-handed,On your back,0
1,7,3,7,Right-handed,On your left side,1
1,10,40,5,Right-handed,On your right side,2
2,6,10,8,Right-handed,On your right side,0
1,7,4,5,Right-handed,On your stomach,2
3,7,10,7,Right-handed,On your back,0
3,5,5,7,Right-handed,On your stomach,4
4,5,6,8,Right-handed,On your back,6
3,6,4,7,Right-handed,On your right side,0
3,8,4,7,Right-handed,On your left side,1
1,5,20,7,Right-handed,On your right side,1
3,3,5,8,Right-handed,On your back,0
1,4,10,7.5,Left-handed,On your left side,0
3,6,3,7,Right-handed,On your right side,1
3,6,5,8,Right-handed,On your left side,2
1,6,4,7,Right-handed,On your left side,0
1,6,3,7,Right-handed,On your right side,4
4,7,10,8,Right-handed,On your left side,0
1,6,6,8,Right-handed,On your back,0
3,3,8,6,Right-handed,On your back,0
3,7,10,8,Right-handed,On your back,2
3,6,8,6,Right-handed,On your left side,0
1,8,4,9,Right-handed,On your right side,0
1,6,2,6,Right-handed,On your left side,0
3,6,3,8,Right-handed,On your stomach,7
1,5,4,8,Right-handed,On your back,2
1,9,8,7,Right-handed,On your left side,2
2,6,5,7,Right-handed,On your left side,3
3,3,2,7,Right-handed,On your right side,4
3,8,10,8,Right-handed,On your stomach,12
1,10,20,6,Right-handed,On your left side,0
3,7,3,7,Right-handed,On your right side,0
1,3,4,8,Right-handed,On your right side,3
4,5,3,8,Right-handed,On your back,2
1,7,4,9,Right-handed,On your back,4
1,7,4,6,Right-handed,On your stomach,10
2,5,11,7,Right-handed,On your back,2
1,6,7,7,Right-handed,On your back,3
1,8,8,7,Right-handed,On your right side,1
3,3,3,6,Right-handed,On your right side,0
1,9,10,7,Right-handed,On your stomach,0
1,3,3,8,Right-handed,On your left side,2
1,5,5,7,Right-handed,On your back,0
3,5,4,7,Right-handed,On your left side,2
1,8,10,6,Right-handed,On your back,3
3,1,3,7,Right-handed,On your back,3
2,5,7,8,Right-handed,On your right side,6
1,4,3,7,Right-handed,On your right side,3
4,5,5,7,Right-handed,On your right side,0
1,6,5,6.5,Right-handed,On your back,2
3,5,3,6,Right-handed,On your left side,0
1,4,4,5,Right-handed,On your left side,2
3,4,3,6,Right-handed,On your left side,0
3,4,7,6,Right-handed,On your right side,0
1,7,6,8,Right-handed,On your right side,5
1,8,10,7,Right-handed,On your right side,0
2,4,4,8,Left-handed,On your right side,10
2,7,6,7,Right-handed,On your right side,0
1,8,5,8,Right-handed,On your stomach,0
1,9,6,6,Right-handed,On your stomach,0
1,3,3,7,Right-handed,On your back,0
1,7,10,6,Right-handed,On your stomach,2
2,3,5,7,Left-handed,On your back,0
3,7,5,8,Right-handed,On your right side,0
3,3,4,7,Right-handed,On your left side,0
1,6,2,6,Left-handed,On your right side,0
4,3,2,4,Right-handed,On your back,7
1,5,3,7,Left-handed,On your stomach,0
2,6,5,8,Left-handed,On your back,3
3,7,4,7,Right-handed,On your left side,2
2,7,4,7,Right-handed,On your stomach,3
2,7,20,8,Right-handed,On your right side,2
3,3,5,6,Right-handed,On your stomach,0
1,4,4,9,Right-handed,On your right side,0
3,6,6,6,Right-handed,On your left side,2
1,7,10,7,Right-handed,On your left side,2
3,4,6,6,Right-handed,On your left side,0
3,10,5,8,Right-handed,On your right side,4
3,1,4,7,Left-handed,On your left side,2
3,7,2,7,Left-handed,On your right side,0
3,4,2,6,Right-handed,On your back,2
3,6,3,7,Right-handed,On your right side,3
1,3,1,7,Right-handed,On your left side,0
3,3,5,6,Right-handed,On your right side,2
1,7,5,6,Right-handed,On your left side,0
1,1,2,6.5,Right-handed,On your right side,0
1,5,10,8,Right-handed,On your right side,0
3,8,20,5,Right-handed,On your right side,2
1,7,3,7,Right-handed,On your left side,0
1,7,10,7,Right-handed,On your left side,0
3,8,6,8,Right-handed,On your right side,2
1,4,4,6,Right-handed,On your back,0
1,6,2,7,Right-handed,On your left side,0
1,8,2,8,Right-handed,On your stomach,0
1,6,4,8,Right-handed,On your stomach,2
1,2,5,6,Right-handed,On your back,0
1,9,10,7,Right-handed,On your back,0
2,6,5,7,Right-handed,On your right side,2
4,4,3,8,Left-handed,On your right side,0
1,7,3,9,Right-handed,On your back,0
1,4,6,6,Right-handed,On your stomach,0
3,5,3,7,Right-handed,On your stomach,2
3,5,2,7,Right-handed,On your right side,0
1,4,5,7,Right-handed,On your stomach,3
5,8,6,7,Right-handed,On your left side,3
3,3,3,8,Right-handed,On your right side,0
2,7,9,7,Right-handed,On your stomach,4
2,7,5,6,Right-handed,On your right side,7
1,8,6,7,Right-handed,On your left side,0
2,8,8,6,Right-handed,On your right side,0
1,5,3,5,Right-handed,On your left side,5
1,3,4,8,Right-handed,On your stomach,0
2,6,3,6,Right-handed,On your right side,6
3,7,10,6,Right-handed,On your back,2
1,6,3,8,Right-handed,On your back,0
3,6,2,8,Right-handed,On your left side,2
2,7,5,6,Right-handed,On your left side,2
3,2,14,6,Right-handed,On your right side,0
2,5,5,7,Right-handed,On your back,4
3,5,0,8,Right-handed,On your back,1
2,6,5,6,Right-handed,On your right side,5
3,3,3,5,Left-handed,On your left side,4
1,10,12,7,Right-handed,On your right side,3
1,7,25,7,Right-handed,On your stomach,0
1,10,3,7,Right-handed,On your stomach,2
3,5,2,6,Right-handed,On your back,4
2,10,18,9,Right-handed,On your left side,7
2,6,5,6,Right-handed,On your stomach,5
1,8,15,8,Right-handed,On your left side,0
3,7,4,8,Right-handed,On your left side,0
1,9,15,8,Right-handed,On your back,1
3,7,8,8,Right-handed,On your back,0
3,4,4,5,Right-handed,On your left side,0
3,7,16,6,Right-handed,On your stomach,7
5,3,5,7,Right-handed,On your back,0
3,7,3,7,Right-handed,On your right side,3
2,10,20,6,Right-handed,On your right side,4
1,1,0,6,Right-handed,On your back,0
1,7,5,7,Right-handed,On your left side,4
2,4,4,7,Right-handed,On your back,1
1,8,8,6,Right-handed,On your right side,2
3,3,2,7,Right-handed,On your back,0
1,7,6,8,Right-handed,On your left side,2
2,5,3,6,Right-handed,On your right side,5
2,3,3,7,Right-handed,On your left side,0
1,4,5,7,Right-handed,On your right side,6
1,5,2,8,Right-handed,On your right side,0
4,7,5,7,Right-handed,On your right side,7
1,4,1,6,Right-handed,On your right side,0
5,4,4,7,Right-handed,On your stomach,0
1,4,5,7,Right-handed,On your back,0
2,7,3,5,Right-handed,On your back,1
4,3,3,7,Right-handed,On your back,2
2,6,7,6,Left-handed,On your stomach,8
3,8,25,7,Right-handed,On your stomach,4
3,5,5,5,Right-handed,On your right side,2
2,8,20,7,Right-handed,On your back,0
1,8,4,7,Right-handed,On your left side,2
2,5,3,7.5,Right-handed,On your right side,0
2,3,5,8,Right-handed,On your left side,6
4,3,4,5,Right-handed,On your left side,5
1,7,4,8,Right-handed,On your left side,0
1,7,10,6,Right-handed,On your right side,2
1,9,15,8,Right-handed,On your back,0
1,3,5,6,Right-handed,On your back,0
1,6,10,7,Right-handed,On your left side,1
1,8,10,6,Right-handed,On your right side,3
3,5,2,6,Right-handed,On your left side,2
3,7,5,6,Right-handed,On your back,2
3,6,8,7,Right-handed,On your back,5
3,6,3,7,Left-handed,On your left side,0
1,4,5,7,Right-handed,On your left side,0
2,7,3,8,Right-handed,On your right side,2
2,2,5,5,Right-handed,On your stomach,0
2,7,6,7,Left-handed,On your left side,0
1,7,5,8,Right-handed,On your right side,4
1,3,4,8,Right-handed,On your back,0
1,5,15,5,Right-handed,On your right side,0
4,3,5,8,Left-handed,On your right side,4
2,10,4,7,Left-handed,On your left side,2
1,5,6,8,Right-handed,On your right side,2
2,4,5,6,Right-handed,On your left side,0
1,5,6,8,Right-handed,On your right side,0
4,7,3,6,Right-handed,On your left side,2
1,4,7,7,Left-handed,On your back,0
3,7,5,7,Right-handed,On your stomach,4
3,5,4,8,Right-handed,On your right side,0
1,9,5,8,Right-handed,On your back,1
1,6,3,7,Right-handed,On your left side,2
1,7,4,6,Right-handed,On your stomach,0
3,10,8,6,Right-handed,On your left side,2
4,8,6,6,Right-handed,On your right side,3
1,3,4,6,Right-handed,On your right side,0
1,8,7,7,Right-handed,On your right side,0
2,9,12,6,Right-handed,On your left side,0
1,7,10,8,Right-handed,On your back,3
1,5,4,8,Right-handed,On your left side,2
2,5,0,7,Right-handed,On your stomach,0
5,5,2,6,Left-handed,On your stomach,6
1,5,6,8,Right-handed,On your right side,0
4,5,3,5,Right-handed,On your right side,4
5,1,0,12,Left-handed,On your right side,0
3,6,4,7,Right-handed,On your right side,0
4,7,6,6,Right-handed,On your right side,0
1,7,6,7,Right-handed,On your stomach,2
2,6,10,7,Right-handed,On your left side,0
2,4,2,8,Right-handed,On your right side,0
3,5,6,8.5,Right-handed,On your right side,0
5,4,5,8,Right-handed,On your left side,0
2,8,7,7,Right-handed,On your stomach,1
3,6,15,7,Right-handed,On your back,4
3,8,10,8,Right-handed,On your back,2
2,7,3,5,Right-handed,On your back,6
3,8,3,7,Right-handed,On your right side,2
5,6,7,6,Right-handed,On your right side,3
4,5,2,7,Right-handed,On your right side,0
1,6,10,7,Right-handed,On your stomach,0
1,7,9,6,Right-handed,On your right side,0
1,5,10,7,Right-handed,On your back,0
1,6,10,8,Right-handed,On your left side,0
1,8,4,8,Right-handed,On your right side,1
1,8,10,6,Right-handed,On your left side,4
3,3,3,7,Right-handed,On your back,0
